Productnaam,Toepassing,Omschrijving,Gangpad,Plank,Sectie,Categorie,Merk,Afmetingen,Specifieke Eigenschappen
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,1,Ooghoogte,C,Hout,Tiger,300ml,Vochtbestendig
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",5,Laag,B,Vloerbedekking,Makita,5x50mm,Warm licht
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",1,Ooghoogte,B,Tuinartikelen,Black & Decker,300ml,Weerbestendig
Kruiskop schroeven,Bevestigen in hout,"Gegalvaniseerde schroeven voor houtconstructies, kruiskop",1,Midden-laag,C,Verlichting,Stanley,Ø15mm,Gegalvaniseerd
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",2,Midden-laag,D,Leidingen,Gardena,18V,Weerbestendig
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,4,Ooghoogte,D,Sanitair,Tesa,2440x1220,Inclusief accu
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",1,Hoog,C,Tuinartikelen,Gamma,300ml,Energiebesparend
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,2,Midden-laag,B,Bevestiging,Stanley,4x40mm,Weerbestendig
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,6,Laag,A,Vloerbedekking,Fischer,20 meter,Schimmelwerend
Kruiskop schroeven,Bevestigen in hout,"Gegalvaniseerde schroeven voor houtconstructies, kruiskop",10,Ooghoogte,C,Verf,Tesa,300ml,Schimmelwerend
Kruiskop schroeven,Bevestigen in hout,"Gegalvaniseerde schroeven voor houtconstructies, kruiskop",1,Hoog,A,Verf,Tesa,20 meter,Waterdicht
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",3,Midden-laag,A,Gereedschap,Gamma,4x40mm,Warm licht
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,2,Ooghoogte,B,Gereedschap,Gamma,4x40mm,Energiebesparend
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",4,Midden-laag,C,Leidingen,Fischer,4x40mm,Weerbestendig
Verfroller,Schilderen,Grote verfroller met comfortabele grip,4,Midden-laag,B,Tuinartikelen,Tesa,7W,Waterdicht
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,2,Laag,A,Hout,Tiger,Ø50mm,Schimmelwerend
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",2,Midden-laag,D,Vloerbedekking,Black & Decker,20 meter,Vochtbestendig
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,2,Hoog,C,Hout,Tiger,2440x1220,Roestbestendig
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,2,Midden-laag,A,Gereedschap,Tiger,20 meter,Schimmelwerend
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,1,Laag,A,Sanitair,Philips,Ø15mm,Weerbestendig
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",10,Midden-laag,A,Vloerbedekking,Makita,18V,Gegalvaniseerd
Verfroller,Schilderen,Grote verfroller met comfortabele grip,4,Ooghoogte,B,Leidingen,Black & Decker,20 meter,Roestbestendig
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,6,Ooghoogte,C,Gereedschap,Black & Decker,2440x1220,Schimmelwerend
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",3,Midden-laag,A,Hout,Black & Decker,Ø15mm,Inclusief accu
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",9,Midden-laag,C,Gereedschap,Tesa,Ø50mm,Warm licht
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",5,Laag,D,Sanitair,Black & Decker,Ø50mm,Gegalvaniseerd
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",8,Laag,A,Verf,Philips,7W,Waterdicht
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,7,Hoog,D,Hout,Tesa,300ml,Roestbestendig
Verfroller,Schilderen,Grote verfroller met comfortabele grip,6,Hoog,A,Sanitair,Bosch,300ml,Energiebesparend
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,8,Laag,A,Bevestiging,Tesa,5x50mm,Schimmelwerend
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,8,Midden-laag,C,Leidingen,Philips,18V,Inclusief accu
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,7,Midden-laag,A,Sanitair,Tiger,4x40mm,Gegalvaniseerd
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",1,Laag,B,Gereedschap,Tiger,5x50mm,Gegalvaniseerd
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,9,Laag,A,Tuinartikelen,Bosch,7W,Weerbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",8,Laag,C,Vloerbedekking,Gardena,7W,Energiebesparend
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",3,Ooghoogte,A,Gereedschap,Philips,7W,Energiebesparend
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,6,Midden-laag,A,Leidingen,Tiger,300ml,Gegalvaniseerd
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",3,Laag,D,Gereedschap,Gardena,30mm,Weerbestendig
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,6,Ooghoogte,C,Verlichting,Makita,18V,Snel droog
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,9,Hoog,B,Verf,Makita,7W,Energiebesparend
Verfroller,Schilderen,Grote verfroller met comfortabele grip,9,Ooghoogte,C,Gereedschap,Black & Decker,30mm,Vochtbestendig
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",2,Ooghoogte,A,Leidingen,Black & Decker,18V,Inclusief accu
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,5,Midden-laag,C,Hout,Tesa,7W,Waterdicht
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",1,Hoog,D,Sanitair,Stanley,Ø15mm,Gegalvaniseerd
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,10,Midden-laag,D,Sanitair,Tesa,7W,Gegalvaniseerd
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",3,Midden-laag,A,Gereedschap,Tesa,7W,Weerbestendig
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",4,Midden-laag,C,Sanitair,Philips,18V,Waterdicht
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,9,Midden-laag,B,Leidingen,Makita,Ø50mm,Weerbestendig
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",4,Hoog,D,Vloerbedekking,Makita,18V,Snel droog
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",3,Hoog,C,Vloerbedekking,Black & Decker,300ml,Energiebesparend
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",9,Hoog,D,Vloerbedekking,Stanley,20 meter,Gegalvaniseerd
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,9,Hoog,C,Gereedschap,Black & Decker,Ø15mm,Snel droog
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,8,Laag,C,Hout,Fischer,300ml,Roestbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",6,Hoog,D,Sanitair,Gamma,2440x1220,Roestbestendig
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,8,Ooghoogte,A,Sanitair,Bosch,Ø15mm,Schimmelwerend
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,8,Midden-laag,B,Verlichting,Fischer,Ø15mm,Schimmelwerend
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,7,Midden-laag,A,Verf,Gardena,18V,Schimmelwerend
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",2,Hoog,C,Tuinartikelen,Gamma,300ml,Gegalvaniseerd
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,5,Laag,D,Hout,Tiger,20 meter,Warm licht
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",3,Laag,C,Gereedschap,Black & Decker,Ø15mm,Vochtbestendig
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",1,Midden-laag,A,Sanitair,Makita,300ml,Schimmelwerend
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",3,Midden-laag,B,Bevestiging,Tesa,18V,Weerbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",10,Midden-laag,B,Verf,Black & Decker,18V,Waterdicht
Verfroller,Schilderen,Grote verfroller met comfortabele grip,3,Laag,C,Sanitair,Tesa,30mm,Roestbestendig
PVC afvoerbuis,Afvoeren,"PVC buis voor afvoerinstallaties, Ø50mm",1,Midden-laag,C,Tuinartikelen,Bosch,20 meter,Warm licht
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",3,Laag,A,Sanitair,Gardena,7W,Weerbestendig
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",9,Hoog,A,Bevestiging,Stanley,300ml,Snel droog
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",1,Midden-laag,C,Verf,Gamma,20 meter,Schimmelwerend
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,6,Ooghoogte,A,Tuinartikelen,Fischer,2440x1220,Gegalvaniseerd
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",8,Ooghoogte,B,Sanitair,Fischer,30mm,Snel droog
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,7,Hoog,B,Bevestiging,Bosch,Ø50mm,Inclusief accu
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",2,Laag,A,Verlichting,Fischer,5x50mm,Vochtbestendig
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Hoog,C,Sanitair,Gamma,2440x1220,Roestbestendig
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,6,Hoog,B,Verf,Tiger,300ml,Waterdicht
Spaanplaat,Bouwmaterialen,Duurzaam spaanplaat voor bouwtoepassingen,2,Midden-laag,A,Sanitair,Makita,4x40mm,Weerbestendig
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",3,Midden-laag,D,Leidingen,Gardena,5x50mm,Snel droog
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",8,Hoog,A,Sanitair,Gardena,2440x1220,Weerbestendig
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,1,Ooghoogte,A,Bevestiging,Makita,18V,Warm licht
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,7,Midden-laag,D,Verf,Tiger,20 meter,Schimmelwerend
Laminaat,Vloerbedekking,"Slijtvast laminaat voor woonruimtes, eikenkleur",10,Midden-laag,D,Bevestiging,Tesa,300ml,Energiebesparend
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",2,Ooghoogte,C,Verlichting,Stanley,5x50mm,Weerbestendig
Torx schroeven,Bevestigen in hout,"Roestbestendige schroeven voor buitengebruik, torx",6,Midden-laag,B,Gereedschap,Philips,Ø15mm,Vochtbestendig
Verfroller,Schilderen,Grote verfroller met comfortabele grip,10,Ooghoogte,D,Verlichting,Gardena,2440x1220,Weerbestendig
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,3,Laag,A,Verf,Gardena,5x50mm,Roestbestendig
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,4,Midden-laag,B,Verf,Gamma,300ml,Energiebesparend
Kraanset,Installeren van sanitair,Complete kraanset voor badkamer of keuken,10,Hoog,A,Tuinartikelen,Tesa,Ø15mm,Snel droog
Schroeven voor gips,Bevestigen in gips,"Speciale schroeven voor gipsplaten, kruiskop",4,Hoog,D,Vloerbedekking,Makita,4x40mm,Gegalvaniseerd
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,8,Hoog,A,Verf,Black & Decker,Ø15mm,Snel droog
Tuinslang,Water geven,Flexibele tuinslang van 20 meter,6,Hoog,D,Sanitair,Black & Decker,4x40mm,Schimmelwerend
Verfroller,Schilderen,Grote verfroller met comfortabele grip,9,Ooghoogte,C,Bevestiging,Stanley,4x40mm,Vochtbestendig
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",2,Ooghoogte,B,Tuinartikelen,Stanley,Ø15mm,Weerbestendig
Muurlamp,Verlichting,Moderne muurlamp met LED-technologie,10,Hoog,D,Verlichting,Gardena,Ø50mm,Warm licht
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,6,Ooghoogte,B,Hout,Makita,Ø50mm,Energiebesparend
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,1,Midden-laag,A,Sanitair,Fischer,18V,Warm licht
Binnenverf,Schilderen binnenmuren,"Matte verf voor binnenmuren, verschillende kleuren beschikbaar",9,Hoog,A,Gereedschap,Tesa,5x50mm,Energiebesparend
Hamer,Slaan van spijkers,Robuuste hamer met een houten handvat,3,Laag,B,Verf,Gardena,4x40mm,Waterdicht
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",6,Laag,D,Tuinartikelen,Black & Decker,20 meter,Weerbestendig
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,8,Ooghoogte,A,Sanitair,Makita,Ø50mm,Vochtbestendig
MDF-plaat,Bouwmaterialen,"Hoge kwaliteit MDF plaat, vochtbestendig",3,Hoog,A,Bevestiging,Makita,Ø50mm,Waterdicht
Sanitair kit,Afkitten van badkamer,Schimmelwerende sanitairkit voor voegen,7,Ooghoogte,A,Vloerbedekking,Bosch,300ml,Weerbestendig
Kruiskop schroeven,Bevestigen in hout,"Gegalvaniseerde schroeven voor houtconstructies, kruiskop",9,Ooghoogte,C,Verf,Tesa,5x50mm,Warm licht
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",8,Midden-laag,C,Leidingen,Tiger,2440x1220,Waterdicht
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",4,Hoog,A,Gereedschap,Fischer,30mm,Inclusief accu
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",3,Ooghoogte,B,Verf,Gamma,18V,Weerbestendig
Verfroller,Schilderen,Grote verfroller met comfortabele grip,5,Laag,B,Verf,Gamma,4x40mm,Weerbestendig
Klopboormachine,Boren in beton,"Krachtige klopboormachine, geschikt voor boren in beton",7,Midden-laag,C,Vloerbedekking,Tiger,18V,Weerbestendig
Slijptol,Slijpen van metaal,Compacte slijptol voor nauwkeurig slijpwerk,6,Laag,A,Hout,Stanley,18V,Roestbestendig
Koperen pijp,Leidingen,"Koperen leiding voor waterinstallaties, Ø15mm",3,Ooghoogte,C,Vloerbedekking,Tesa,4x40mm,Vochtbestendig
LED-lamp,Verlichten van woonruimtes,"LED-lamp, energiebesparend, warm licht",4,Laag,D,Vloerbedekking,Tiger,Ø50mm,Weerbestendig
Buitenverf,Schilderen buitenschilderwerk,Weerbestendige verf voor buitenmuren,1,Laag,A,Vloerbedekking,Fischer,Ø15mm,Weerbestendig
Accuboormachine,Boren in hout,Draagbare accuboormachine met 18V lithium-ion batterij,8,Laag,A,Sanitair,Tesa,30mm,Schimmelwerend
